Date,Company,Title,Level,Standard Level,Skill Index,Location,Total Yearly Compensation,Base Salary (/year),Stock Grant (/year),Bonus (/year),Years of Experience,Years at Company,Tag,Gender,Other Details,,,,,,,,,,
4-1-2020,Deloitte,Management Consultant,Manager,,56.06,"San Francisco, CA",190000,170000,,20000,10,5,Strategy,,,,,,,,,,,,
4-1-2020,IBM,Software Engineer,Senior Advisory Eng,Staff Engineer,68.18,"Seoul, KG, Korea, South",100000,100000,,0,20,20,Full Stack,Male,Masters,,,,,,,,,,
4-1-2020,Yonder,Software Engineer,L4,,,"Iasi, IS, Romania",12000,12000,,0,5,2,Software Tester,Male,,,,,,,,,,,
4-1-2020,Microsoft,Software Engineer,62,Software Engineer,31.25,"Noida, UP, India",47000,33000,7000,7000,7,1,API Development (Back-End),Male,,,,,,,,,,,
4-1-2020,Allianz Technology,Project Manager,Senior,,,"Munich, BY, Germany",92000,80000,,12000,6,3,Management,Male,Masters,,,,,,,,,,
4-1-2020,Apple,Software Engineer,ICT4,Senior Engineer,50,"Shanghai, SH, China",145000,125000,10000,10000,10,1,Site Reliability (SRE),,Masters,,,,,,,,,,
4-1-2020,Rocket Insights,Software Engineer,Senior,,,"Boston, MA",145000,145000,,0,5,1,Web Development (Front-End),Male,,,,,,,,,,,
4-1-2020,Amazon,Software Engineer,SDE I,Entry Level Engineer,10.87,"Jersey City, NJ",157000,130000,17000,10000,1,0,Distributed Systems (Back-End),Male,,,,,,,,,,,
4-1-2020,Amazon,Operations Manager,L6,,,"Herndon, VA",235000,150000,50000,35000,15,0,Ops,Male,,,,,,,,,,,
4-1-2020,Oracle,System Administrator,IC-5,,,"Quebec, QC, Canada",120000,90000,25000,5000,18,11,Site Reliability (SRE),Male,,,,,,,,,,,
4-1-2020,Dell EMC,Product Manager,I9,,,"Seattle, WA",210000,169000,7000,33000,20,6,Appliance and Services,Male,Masters,,,,,,,,,,
4-1-2020,Goldman Sachs,Software Engineer,Associate,Software Engineer,28.57,"New York, NY",200000,150000,,50000,8,1,API Development (Back-End),Male,Masters,,,,,,,,,,
4-1-2020,Broadcom,Hardware Engineer,ICB 5,,,"San Jose, CA",330000,170000,120000,45000,12,12,IC Design,Male,Masters,,,,,,,,,,
4-1-2020,Points International,Software Engineer,Development Engineer,,,"Toronto, ON, Canada",88000,86000,3000,0,7,0.8,Full Stack,Male,Less than 8k total stocks with 3 years vesting period. Was told upon receiving the offer that this is the highest salary for the position. - Masters,,,,,,,,,,
4-1-2020,Microsoft,Data Scientist,64,,,"Redmond, WA",220000,180000,20000,20000,10,7,ML,Female,Masters,,,,,,,,,,
4-1-2020,Amazon,Software Engineer,SDE II,Software Engineer,32.61,"Seattle, WA",320000,160000,160000,0,10,6,API Development (Back-End),Female,,,,,,,,,,,
4-1-2020,AWS,Solution Architect,5,,,"Seattle, WA",130000,130000,5000,0,4,4,Distributed Systems (Back-End),,Masters,,,,,,,,,,
4-1-2020,Amazon,Software Engineering Manager,L5 SDM,,3.47,"Seattle, WA",260000,160000,90000,10000,8,1,API Development (Back-End),Male,,,,,,,,,,,
4-1-2020,Deloitte,Management Consultant,Analyst,,6.06,"Atlanta, GA",80000,80000,,0,1,1,Strategy & Operations,Male,,,,,,,,,,,
4-1-2020,Amazon,Product Manager,Senior Product Manager,,35.29,"Seattle, WA",240000,110000,130000,0,18,5,Marketplace,Male,Masters and PhD,,,,,,,,,,
4-1-2020,Meetup,Software Engineer,Senior,,,"New York, NY",155000,155000,,0,7,2,Web Development (Front-End),,,,,,,,,,,,
4-1-2020,Open Robotics,Software Engineer,Entry,,,"Mountain View, CA",172000,150000,10000,12000,1,1,API Development (Back-End),,,,,,,,,,,,
4-1-2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Menlo Park, CA",230000,150000,65000,15000,1,1,General Software Engineer,,,,,,,,,,,,
4-1-2020,iRobot,Software Engineer,Principal,,,"Pasadena, CA",248000,193000,35000,20000,9,3,ML / AI,Male,PhD,,,,,,,,,,
4-1-2020,Here Technologies,Lead Software Engineer,Level 9,,,"Berlin, BE, Germany",101000,82000,7000,12000,8,6,Full Stack,Male,Masters,,,,,,,,,,
4-1-2020,Pinscreen,Software Engineer,L1,,,"Los Angeles, CA",110000,110000,,0,1,2,Full Stack,Male,,,,,,,,,,,
4-1-2020,IDEMIA,Product Designer,L4,,,"Brooklyn, NY",165000,155000,,10000,10,2,Design,Male,,,,,,,,,,,
4-1-2020,Oracle,Software Engineer,IC-2,Entry Level Engineer,10,"Dublin, CA",185000,145000,40000,0,4,0,Web Development (Front-End),Male,Masters,,,,,,,,,,
4-1-2020,Facebook,Software Engineer,E4,Software Engineer,30.3,"Singapore, SG, Singapore",180000,110000,60000,11000,4,1,Full Stack,,,,,,,,,,,,
4-1-2020,Workday,Software Engineer,P2,Software Engineer,20.45,"Pleasanton, CA",155000,115000,35000,5000,4,3,Full Stack,Male,,,,,,,,,,,
4-1-2020,Blueshift,Software Engineer,Software Engineer,,,"Pune, MH, India",45000,45000,,0,4,1,Full Stack,,,,,,,,,,,,
